薬の名前,棚情報
ウェブ基礎スタット,"フェブキソスタット：棚A M-5"
スルピリド,"スルピリド：棚A N-1"
ディレグラ,"ディレグラ：棚A N-2"
カルベジロール,"カルベジロール：棚A N-3"
軽部ジロール,"カルベジロール：棚A N-3"
マグミット,"マグミット：棚A N-4"
ジャヌビア,"ジャヌビア：棚A N-5"
カロナール,"カロナール：棚A O-1"
レボフロキサシン,"レボフロキサシン：棚A O-2"
リクシアナ,"リクシアナ：棚A O-3"
センノシド,"センノシド：棚A O-4"
ミグリトール,"ミグリトール：棚A O-5"
リトル,"ミグリトール：棚A O-5"
巡リ通,"ミグリトール：棚A O-5"
ロキソプロフェンナトリウム,"ロキソプロフェンナトリウム：棚A P-1"
セフカペンピボキシル塩酸塩,"セフカペンピボキシル塩酸塩：棚A P-2"
セフカペピヴォキシル塩酸塩,"セフカペンピボキシル塩酸塩：棚A P-2"
セフカ便秘ボキシル塩酸塩,"セフカペンピボキシル塩酸塩：棚A P-2"
リマプロストアルファデクス,"リマプロストアルファデクス：棚A P-3"
ピコスルファートナトリウム,"ピコスルファートナトリウム：棚A P-4"
フォシーガ,"フォシーガ：棚A P-5"
欲しいが,"フォシーガ：棚A P-5"
プレガバリン,"プレガバリン：棚A Q-1"
クラリスロマイシン,"クラリスロマイシン：棚A Q-2"
ワルファリンカリウム,"ワルファリンカリウム：棚A Q-3"
ブチルスコポラミン臭化物,"ブチルスコポラミン臭化物：棚A Q-4"
ブチルスコポラミン集荷物,"ブチルスコポラミン臭化物：棚A Q-4"
無印スコポラミン集荷物,"ブチルスコポラミン臭化物：棚A Q-4"
トラゼンタ,"トラゼンタ：棚A Q-5"
ミオナール,"ミオナール：棚A R-1"
バラシクロビル,"バラシクロビル：棚A R-2"
シロスタゾール,"シロスタゾール：棚A R-3"
ビオスリー,"ビオスリー：棚A R-4"
美容スリー,"ビオスリー：棚A R-4"
ナフトピジル,"ナフトピジル：棚A R-5"
ラストPG,"ナフトピジル：棚A R-5"
